하루가 또 가네요.	하루가 또 갔습니다.
위로해 드립니다.	위로해 드립니다.
여행은 언제나 좋죠.	여행은 언제나 좋습니다.
여행은 언제나 좋죠.	여행은 언제나 좋습니다.
눈살이 찌푸려지죠.	눈살이 찌푸려집니다.
다시 새로 사는 게 마음 편해요.	다시 새로 사는 게 마음 편합니다.
다시 새로 사는 게 마음 편해요.	다시 새로 사는 게 마음 편합니다.
잘 모르고 있을 수도 있어요.	잘 모르고 있을 수도 있습니다.
시간을 정하고 해보세요.	시간을 정하고 해보십시오.
시간을 정하고 해보세요.	시간을 정하고 해보십시오.
자랑하는 자리니까요.	자랑하는 자리라서 그렇습니다.
그 사람도 그럴 거예요.	그 사람도 그럴 겁니다.
그 사람도 그럴 거예요.	그 사람도 그럴 겁니다.
혼자를 즐기세요.	혼자를 즐기십시오.
돈은 다시 들어올 거예요.	돈은 다시 들어올 겁니다.
땀을 식혀주세요.	땀을 식혀주십시오.
어서 잊고 새출발 하세요.	어서 잊고 새출발 하십시오.
빨리 집에 돌아가서 끄고 나오세요.	빨리 집에 돌아가서 끄고 나오십시오.
빨리 집에 돌아가서 끄고 나오세요.	빨리 집에 돌아가서 끄고 나오십시오.
다음 달에는 더 절약해봐요.	다음 달에는 더 절약해보십시오.
따뜻하게 사세요!	따뜻하게 사십시오!
다음 달에는 더 절약해봐요.	다음 달에는 더 절약해보십시오.
가장 확실한 시간은 오늘이에요. 어제와 내일을 놓고 고민하느라 시간을 낭비하지 마세요.	가장 확실한 시간은 오늘입니다. 어제와 내일을 놓고 고민하느라 시간을 낭비하지 마십시오.
온 가족이 모두 마음에 드는 곳으로 가보세요.	온 가족이 모두 마음에 드는 곳으로 가보십시오.
온 가족이 모두 마음에 드는 곳으로 가보세요.	온 가족이 모두 마음에 드는 곳으로 가보십시오.
온 가족이 모두 마음에 드는 곳으로 가보세요.	온 가족이 모두 마음에 드는 곳으로 가보십시오.
저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요.	저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있습니다.
저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요.	저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있습니다.
더 가까워질 기회가 되겠네요.	더 가까워질 기회가 될 것입니다.
저도요.	저도 그렇습니다.
다들 바빠서 이야기할 시간이 부족했나봐요.	다들 바빠서 이야기할 시간이 부족했나 봅니다.
다들 바빠서 이야기할 시간이 부족했나봐요.	다들 바빠서 이야기할 시간이 부족했나 봅니다.
온 가족이 모두 마음에 드는 곳으로 가보세요.	온 가족이 모두 마음에 드는 곳으로 가보십시오.
좋은 생각이에요.	좋은 생각입니다.
더 가까워질 기회가 되겠네요.	더 가까워질 기회가 될 것 같습니다.
저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요.	저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있습니다.
좋은 생각이에요.	좋은 생각입니다.
정말 후회할 습관이에요.	정말 후회할 습관입니다.
무모한 결정을 내리지 마세요.	무모한 결정을 내리지 마십시오.
선생님이나 기관에 연락해보세요.	선생님이나 기관에 연락해보십시오.
떨리는 감정은 그 자체로 소중해요.	떨리는 감정은 그 자체로 소중합니다.
득템했길 바라요.	득템했길 바랍니다.
휴식도 필요하죠.	휴식도 필요합니다.
단짠으로 두 개 사는게 진리죠.	단짠으로 두 개 사는게 진리입니다.
단짠으로 두 개 사는게 진리죠.	단짠으로 두 개 사는게 진리입니다.
맛있게 드세요.	맛있게 드십시오.
저도 싫어요.	저도 싫습니다.
가세요.	가십시오.
가세요.	가십시오.
맛있게 드세요.	맛있게 드십시오.
맛있게 드세요.	맛있게 드십시오.
병원가세요.	병원가십시오.
이럴 때 잘 쉬는 게 중요해요.	이럴 때 잘 쉬는 게 중요합니다.
이럴 때 잘 쉬는 게 중요해요.	이럴 때 잘 쉬는 게 중요합니다.
이럴 때 잘 쉬는 게 중요해요.	이럴 때 잘 쉬는 게 중요합니다.
따뜻하게 관리하세요.	따뜻하게 관리하십시오.
병원가세요.	병원가십시오.
병원가세요.	병원가십시오.
저도 듣고 싶네요.	저도 듣고 싶습니다.
자신을 더 사랑해주세요.	자신을 더 사랑해주십시오.
그건 습관이에요.	그건 습관입니다.
그건 습관이에요.	그건 습관입니다.
콕 집어서 물어보세요.	콕 집어서 물어보십시오.
좋은 생각만 하세요.	좋은 생각만 하십시오.
마음이 아픈가요.	마음이 아픕니까.
갑작스러웠나봐요.	갑작스러웠나봅니다.
관계의 변화가 왔나봅니다.	관계의 변화가 왔나봅니다.
처음 3초가 중요해요. 당신의 매력을 어필해보세요.	처음 3초가 중요합니다. 당신의 매력을 어필해보십시오.
책임질 수 있을 때 키워 보세요.	책임질 수 있을 때 키워 보십시오.
먼저 생활패턴을 살펴 보세요.	먼저 생활패턴을 살펴 보십시오.
먼저 생활패턴을 살펴 보세요.	먼저 생활패턴을 살펴 보십시오.
책임질 수 있을 때 키워 보세요.	책임질 수 있을 때 키워 보십시오.
아름다운 곳이죠.	아름다운 곳입니다.
안 될 것도 없죠.	안 될 것도 없을 것 같습니다.
혼자도 좋아요.	혼자도 좋습니다.
연인은 살쪄도 잘 알아차리지 못하고 알아차려도 싫어하지 않을 거예요.	연인은 살쪄도 잘 알아차리지 못하고 알아차려도 싫어하지 않을 겁니다.
즐거운 시간 보내고 오세요!	즐거운 시간 보내고 오십시오!
질질 끌지 마세요.	질질 끌지 마십시오.
말해보세요.	말해보십시오.
함께하면 서로를 더 많이 알게 될 거예요.	함께하면 서로를 더 많이 알게 될 겁니다.
개시해보세요.	개시해보십시오.
개시해보세요.	개시해보십시오.
곧 방학이예요.	곧 방학입니다.
방학이 참 짧죠.	방학이 참 짧습니다.
벗어나는 게 좋겠네요.	벗어나는 게 좋겠습니다.
벗어나는 게 좋겠네요.	벗어나는 게 좋겠습니다.
세수하고 오세요.	세수하고 오십시오.
그게 제일 중요한 건데요.	그게 제일 중요한 겁니다.
그게 제일 중요한 건데요.	그게 제일 중요한 겁니다.
다음부터는 더 많이 아세요.	다음부터는 더 많이 아십시오.
갑작스러웠나봐요.	갑작스러웠나봅니다.
공적인 일부터 하세요.	공적인 일부터 하십시오.
공적인 일부터 하세요.	공적인 일부터 하십시오.
낮잠을 잠깐 자도 괜찮아요.	낮잠을 잠깐 자도 괜찮습니다.
저도 좋아해주세요.	저도 좋아해주십시오.
친구들이 보고싶었나봐요.	친구들이 보고싶었나봅니다.
되도록 만나지 마세요.	되도록 만나지 마십시오.
당신이요.	당신입니다.
당신의 운을 믿어보세요.	당신의 운을 믿어보십시오.
일 못하는 사람이 있으면 옆에 있는 사람이 더 힘들죠.	일 못하는 사람이 있으면 옆에 있는 사람이 더 힘듭니다.
밥 사줄 친구를 찾아 보세요~	밥 사줄 친구를 찾아 보십시오~
선의의 거짓말이길 바라요.	선의의 거짓말이길 바랍니다.
거짓말은 할수록 늘어요.	거짓말은 할수록 늘어납니다.
거짓말은 할수록 늘어요.	거짓말은 할수록 늘어납니다.
진실된 말을 하려고 노력해보세요.	진실된 말을 하려고 노력해보십시오.
누구나 걱정은 있어요.	누구나 걱정은 있습니다.
누구나 걱정은 있어요.	누구나 걱정은 있습니다.
운동을 해보세요.	운동을 해보십시오.
세상의 무엇보다 건강이 제일 중요해요.	세상의 무엇보다 건강이 제일 중요합니다.
주기적으로 해주는 게 좋죠.	주기적으로 해주는 게 좋습니다.
주기적으로 해주는 게 좋죠.	주기적으로 해주는 게 좋습니다.
가장 중요한 목표네요.	가장 중요한 목표입니다.
가장 중요한 목표네요.	가장 중요한 목표입니다.
적게 먹고 많이 움직이세요.	적게 먹고 많이 움직이십시오.
적게 먹고 많이 움직이세요.	적게 먹고 많이 움직이십시오.
모르는 사이라 당황할 수도 있어요.	모르는 사이라 당황할 수도 있습니다.
이룰 수 있을 거예요.	이룰 수 있을 겁니다.
이룰 수 있을 거예요.	이룰 수 있을 겁니다.
기분이 나쁘셨나봐요.	기분이 나쁘셨나봅니다.
있으면 편하대요.	있으면 편하다고 합니다.
눈을 깜빡거려 보세요.	눈을 깜빡거려 보십시오.
청소를 좋아하시나봐요.	청소를 좋아하시나 봅니다.
안전 귀가 하세요.	안전 귀가 하십시오.
용기 내보세요.	용기 내보십시오.
피해를 안 준다면 무시하세요.	피해를 안 준다면 무시하십시오.
안 될 것도 없죠.	안 될 것도 없을 것 같습니다.
게임할때는 시간이 더 빨리 가요.	게임할때는 시간이 더 빨리 갑니다.
정리해보세요.	정리해보십시오.
게임하세요!	게임하십시오.
다른 게임해보세요.	다른 게임해보십시오.
다른 게임해보세요.	다른 게임해보십시오.
게임하세요!	게임하십시오!
게임할때는 시간이 더 빨리 가요.	게임할때는 시간이 더 빨리 갑니다.
마음에도 봄이 오길 바라요.	마음에도 봄이 오길 바랍니다.
몸은 뜨겁고 머리는 차갑게!	몸은 뜨겁고 머리는 차갑게!
마음에도 봄이 오길 바라요.	마음에도 봄이 오길 바랍니다.
잘하실 거예요!	잘하실 겁니다!
잘하실 거예요!	잘하실 겁니다!
건강 생각해서 챙겨드세요.	건강 생각해서 챙겨드십시오.
좋은 운명도 있을거예요.	좋은 운명도 있을겁니다.
결정하기 힘드시겠네요.	결정하기 힘드시겠습니다.
자신을 위한 결정을 내리길 바라요.	자신을 위한 결정을 내리길 바랍니다.
자신을 위한 결정을 내리길 바라요.	자신을 위한 결정을 내리길 바랍니다.
결정은 빠르면 빠를수록 좋을 거예요.	결정은 빠르면 빠를수록 좋을 겁니다.
안타깝네요. 증거를 지금이라도 모아봐요.	안타깝습니다. 증거를 지금이라도 모아보십시오.
좋겠어요.	좋겠습니다.
좋겠어요.	좋겠습니다.
많이 들지만 줄일 수 있을 거예요.	많이 들지만 줄일 수 있을 겁니다.
경조사는 참석하는게 좋아요.	경조사는 참석하는게 좋습니다.
경조사는 참석하는게 좋아요.	경조사는 참석하는게 좋습니다.
생각보다 신경 안 씁니다.	생각보다 신경 안 씁니다.
인맥이 넓으신가봐요.	인맥이 넓으신가 봅니다.
힘들겠네요.	힘드시겠습니다.
많이 들지만 줄일 수 있을 거예요.	많이 들지만 줄일 수 있을 겁니다.
욕심에 따라 천지 차이일 거예요.	욕심에 따라 천지 차이일 겁니다.
허례허식이에요.	허례허식입니다.
욕심에 따라 천지 차이일 거예요.	욕심에 따라 천지 차이일 겁니다.
해봐요.	해보십시오.
서로 노력하면 행복할 거예요.	서로 노력하면 행복할 겁니다.
서로 노력하면 행복할 거예요.	서로 노력하면 행복할 겁니다.
사람마다 행복의 크기가 다르겠지만 행복할 거예요.	사람마다 행복의 크기가 다르겠지만 행복할 겁니다.
사람마다 행복의 크기가 다르겠지만 행복할 거예요.	사람마다 행복의 크기가 다르겠지만 행복할 겁니다.
능력이 있으면 하면 되죠.	능력이 있으면 하면 됩니다.
능력이 있으면 하면 되죠.	능력이 있으면 하면 됩니다.
이사람이다 싶은 사람이랑 하세요.	이사람이다 싶은 사람이랑 하십시오.
해봐요.	해보십시오.
점점 치열해지는 것 같아요.	점점 치열해지는 것 같습니다.
확신이 없나봐요.	확신이 없나 봅니다.
안정적인 걸 좋아하나봐요.	안정적인 걸 좋아하나 봅니다.
방학은 참 짧아요.	방학은 참 짧습니다.
보러 가세요.	보러 가십시오.
보러 가세요.	보러 가십시오.
계속 좋지 않으면 병원에 가보세요.	계속 좋지 않으면 병원에 가보십시오.
타이밍이 안 맞았나봐요.	타이밍이 안 맞았나 봅니다.
이제 취업 하셔야죠.	이제 취업하셔야 합니다.
뇌세포에 에너지를 공급하려는 자연스러운 현상이에요. 에너지가 부족한가봐요.	뇌세포에 에너지를 공급하려는 자연스러운 현상입니다. 에너지가 부족한가 봅니다.
공부가 최우선이죠.	공부가 최우선입니다.
공부가 최우선이죠.	공부가 최우선입니다.
너무 무리하지는 마세요.	너무 무리하지는 마십시오.
너무 무리하지는 마세요.	너무 무리하지는 마십시오.
저기압에는 고기앞이죠.	저기압에는 고기앞입니다.
저기압에는 고기앞이죠.	저기압에는 고기앞입니다.
연습이 필요해요.	연습이 필요합니다.
연습이 필요해요.	연습이 필요합니다.
혼자가 아니에요.	혼자가 아닙니다.
인복이 많나봐요.	인복이 많나 봅니다.
너무 걱정하지 마세요.	너무 걱정하지 마십시오.
네 말씀하세요.	네 말씀하십시오.
네 말씀하세요.	네 말씀하십시오.
후회는 후회를 낳을뿐이에요. 용기 내세요.	후회는 후회를 낳을뿐입니다. 용기 내십시오.
돈을 모아서 다른 곳으로 이사갈 수 있을 거예요.	돈을 모아서 다른 곳으로 이사갈 수 있을 겁니다.
돈을 모아서 다른 곳으로 이사갈 수 있을 거예요.	돈을 모아서 다른 곳으로 이사갈 수 있을 겁니다.
더 좋은 곳에서 살 수 있을 거예요.	더 좋은 곳에서 살 수 있을 겁니다.
더 좋은 곳에서 살 수 있을 거예요.	더 좋은 곳에서 살 수 있을 겁니다.
완전 귀엽죠?	완전 귀엽지 않습니까?
자신을 먼저 키우세요.	자신을 먼저 키우십시오.
가족들과 상의해보세요.	가족들과 상의해보십시오.
용서를 구하세요.	용서를 구하십시오.
피할 수 있으면 피하세요.	피할 수 있으면 피하십시오.
피할 수 있으면 피하세요.	피할 수 있으면 피하십시오.
처음부터 잘하는 사람은 없어요.	처음부터 잘하는 사람은 없습니다.
시간내서 가보세요.	시간내서 가보십시오.
처음부터 잘하는 사람은 없어요.	처음부터 잘하는 사람은 없습니다.
시간내서 가보세요.	시간내서 가보십시오.
미리 미리 충전해주세요.	미리 미리 충전해주십시오.
미리 미리 충전해주세요.	미리 미리 충전해주십시오.
안정적이고 좋죠.	안정적이고 좋습니다.
준비해보세요.	준비해보십시오.
준비해보세요.	준비해보십시오.
합격 기원해요!	합격 기원합니다!
철밥통 되기가 어디 쉽겠어요.	철밥통 되기가 어디 쉽겠습니까.
철밥통 되기가 어디 쉽겠어요.	철밥통 되기가 어디 쉽겠습니까.
시작이 반이에요. 어서 준비하세요.	시작이 반입니다. 어서 준비하십시오.
안정적이고 좋죠.	안정적이고 좋습니다.
자연스러운 현상이에요.	자연스러운 현상입니다.
자연스러운 현상이에요.	자연스러운 현상입니다.
보이는 게 없죠.	보이는 게 없습니다.
지금처럼 잘될 거예요.	지금처럼 잘될 겁니다.
미래의 배우자가 달라져요.	미래의 배우자가 달라집니다.
확신이 없나봐요.	확신이 없나 봅니다.
공부는 언제나 좋죠.	공부는 언제나 좋습니다.
공부하면 더 많은 선택을 할 수 있죠.	공부하면 더 많은 선택을 할 수 있습니다.
같이 수다 떨면서 놀까요?	같이 수다 떨면서 노는 건 어떻습니까?
나만의 공부방법을 찾아보세요.	나만의 공부방법을 찾아보십시오.
지금도 늦지 않았어요.	지금도 늦지 않았습니다.
같이 수다 떨면서 놀까요?	같이 수다 떨면서 노는 건 어떻습니까?
확신이 없나봐요.	확신이 없나 봅니다.
지금처럼 잘될 거예요.	지금처럼 잘될 겁니다.
나한테 맞는 공부 방법 찾는 게 시급하네요.	나한테 맞는 공부 방법 찾는 게 시급합니다.
잠시 쉬어도 돼요.	잠시 쉬어도 됩니다.
잠시 쉬어도 돼요.	잠시 쉬어도 됩니다.
공부하면 더 많은 선택을 할 수 있죠.	공부하면 더 많은 선택을 할 수 있습니다.
공부하면 더 많은 선택을 할 수 있죠.	공부하면 더 많은 선택을 할 수 있습니다.
공부하면 더 많은 선택을 할 수 있죠.	공부하면 더 많은 선택을 할 수 있습니다.
합격 기원해요!	합격 기원합니다!
잘 될 거예요.	잘 될 겁니다.
좋은 결과 있을 거예요!	좋은 결과 있을 겁니다!
잘 될 거예요.	잘 될 겁니다.
좋은 결과 있을 거예요!	좋은 결과 있을 겁니다!
친구와 같이 가보세요.	친구와 같이 가보십시오.
친구와 같이 가보세요.	친구와 같이 가보십시오.
성향 차이가 좀 있기는 하죠.	성향 차이가 좀 있기는 합니다.
꾸준히 약 먹고 치료해보세요.	꾸준히 약 먹고 치료해보십시오.
꾸준히 약 먹고 치료해보세요.	꾸준히 약 먹고 치료해보십시오.
피로 풀고 좋죠.	피로 풀고 좋습니다.
피로 풀고 좋죠.	피로 풀고 좋습니다.
오늘이 중요하죠.	오늘이 중요합니다.
오늘이 중요하죠.	오늘이 중요합니다.
소화제 챙겨드세요.	소화제 챙겨드십시오.
과식은 금물이에요.	과식은 금물입니다.
소화제 드세요.	소화제 드십시오.
안된다고 하면 거짓말이겠지요.	안된다고 하면 거짓말일 겁니다.
안된다고 하면 거짓말이겠지요.	안된다고 하면 거짓말일 겁니다.
